,index,prediction
0,0,<=50K
1,1,<=50K
2,2,<=50K
3,3,<=50K
4,4,<=50K
5,5,<=50K
6,6,>50K
7,7,<=50K
8,8,<=50K
9,9,<=50K
10,10,<=50K
11,11,<=50K
12,12,<=50K
13,13,<=50K
14,14,<=50K
15,15,<=50K
16,16,<=50K
17,17,>50K
18,18,<=50K
19,19,>50K
20,20,<=50K
21,21,<=50K
22,22,<=50K
23,23,<=50K
24,24,>50K
25,25,<=50K
26,26,<=50K
27,27,<=50K
28,28,<=50K
29,29,<=50K
30,30,<=50K
31,31,<=50K
32,32,<=50K
33,33,<=50K
34,34,<=50K
35,35,<=50K
36,36,>50K
37,37,<=50K
38,38,<=50K
39,39,<=50K
40,40,<=50K
41,41,<=50K
42,42,<=50K
43,43,<=50K
44,44,<=50K
45,45,<=50K
46,46,<=50K
47,47,<=50K
48,48,>50K
49,49,<=50K
50,50,<=50K
51,51,<=50K
52,52,<=50K
53,53,<=50K
54,54,<=50K
55,55,<=50K
56,56,<=50K
57,57,<=50K
58,58,<=50K
59,59,<=50K
60,60,<=50K
61,61,<=50K
62,62,<=50K
63,63,<=50K
64,64,<=50K
65,65,<=50K
66,66,>50K
67,67,<=50K
68,68,<=50K
69,69,<=50K
70,70,<=50K
71,71,<=50K
72,72,>50K
73,73,<=50K
74,74,<=50K
75,75,<=50K
76,76,<=50K
77,77,>50K
78,78,<=50K
79,79,<=50K
80,80,>50K
81,81,<=50K
82,82,<=50K
83,83,<=50K
84,84,<=50K
85,85,>50K
86,86,<=50K
87,87,>50K
88,88,<=50K
89,89,<=50K
90,90,<=50K
91,91,<=50K
92,92,<=50K
93,93,<=50K
94,94,<=50K
95,95,<=50K
96,96,>50K
97,97,<=50K
98,98,<=50K
99,99,<=50K
100,100,<=50K
101,101,<=50K
102,102,<=50K
103,103,<=50K
104,104,>50K
105,105,<=50K
106,106,<=50K
107,107,<=50K
108,108,<=50K
109,109,<=50K
110,110,<=50K
111,111,<=50K
112,112,<=50K
113,113,<=50K
114,114,<=50K
115,115,<=50K
116,116,<=50K
117,117,>50K
118,118,<=50K
119,119,<=50K
120,120,<=50K
121,121,<=50K
122,122,<=50K
123,123,<=50K
124,124,<=50K
125,125,<=50K
126,126,<=50K
127,127,>50K
128,128,<=50K
129,129,<=50K
130,130,<=50K
131,131,<=50K
132,132,<=50K
133,133,>50K
134,134,<=50K
135,135,<=50K
136,136,<=50K
137,137,<=50K
138,138,<=50K
139,139,<=50K
140,140,<=50K
141,141,<=50K
142,142,<=50K
143,143,<=50K
144,144,<=50K
145,145,<=50K
146,146,<=50K
147,147,<=50K
148,148,>50K
149,149,<=50K
150,150,<=50K
151,151,<=50K
152,152,<=50K
153,153,<=50K
154,154,>50K
155,155,<=50K
156,156,<=50K
157,157,>50K
158,158,<=50K
159,159,>50K
160,160,>50K
161,161,<=50K
162,162,>50K
163,163,<=50K
164,164,<=50K
165,165,<=50K
166,166,<=50K
167,167,<=50K
168,168,<=50K
169,169,<=50K
170,170,<=50K
171,171,<=50K
172,172,<=50K
173,173,<=50K
174,174,>50K
175,175,<=50K
176,176,<=50K
177,177,<=50K
178,178,<=50K
179,179,<=50K
180,180,<=50K
181,181,<=50K
182,182,<=50K
183,183,<=50K
184,184,<=50K
185,185,>50K
186,186,<=50K
187,187,<=50K
188,188,<=50K
189,189,<=50K
190,190,<=50K
191,191,<=50K
192,192,<=50K
193,193,<=50K
194,194,<=50K
195,195,<=50K
196,196,<=50K
197,197,>50K
198,198,<=50K
199,199,<=50K
200,200,<=50K
201,201,>50K
202,202,<=50K
203,203,<=50K
204,204,<=50K
205,205,<=50K
206,206,<=50K
207,207,<=50K
208,208,<=50K
209,209,<=50K
210,210,<=50K
211,211,<=50K
212,212,<=50K
213,213,<=50K
214,214,<=50K
215,215,<=50K
216,216,<=50K
217,217,<=50K
218,218,<=50K
219,219,>50K
220,220,<=50K
221,221,<=50K
222,222,<=50K
223,223,<=50K
224,224,<=50K
225,225,<=50K
226,226,>50K
227,227,<=50K
228,228,<=50K
229,229,<=50K
230,230,<=50K
231,231,<=50K
232,232,>50K
233,233,>50K
234,234,<=50K
235,235,<=50K
236,236,<=50K
237,237,<=50K
238,238,<=50K
239,239,<=50K
240,240,<=50K
241,241,<=50K
242,242,<=50K
243,243,<=50K
244,244,>50K
245,245,<=50K
246,246,<=50K
247,247,<=50K
248,248,<=50K
249,249,>50K
250,250,<=50K
251,251,<=50K
252,252,<=50K
253,253,<=50K
254,254,<=50K
255,255,<=50K
256,256,<=50K
257,257,<=50K
258,258,<=50K
259,259,<=50K
260,260,<=50K
261,261,<=50K
262,262,<=50K
263,263,<=50K
264,264,<=50K
265,265,<=50K
266,266,<=50K
267,267,<=50K
268,268,<=50K
269,269,<=50K
270,270,<=50K
271,271,<=50K
272,272,>50K
273,273,>50K
274,274,>50K
275,275,<=50K
276,276,<=50K
277,277,<=50K
278,278,<=50K
279,279,<=50K
280,280,<=50K
281,281,<=50K
282,282,<=50K
283,283,<=50K
284,284,<=50K
285,285,<=50K
286,286,<=50K
287,287,<=50K
288,288,<=50K
289,289,<=50K
290,290,>50K
291,291,<=50K
292,292,<=50K
293,293,<=50K
294,294,<=50K
295,295,<=50K
296,296,<=50K
297,297,>50K
298,298,<=50K
299,299,<=50K
300,300,<=50K
301,301,<=50K
302,302,<=50K
303,303,<=50K
304,304,<=50K
305,305,<=50K
306,306,<=50K
307,307,<=50K
308,308,<=50K
309,309,<=50K
310,310,<=50K
311,311,<=50K
312,312,<=50K
313,313,<=50K
314,314,<=50K
315,315,<=50K
316,316,<=50K
317,317,<=50K
318,318,<=50K
319,319,<=50K
320,320,<=50K
321,321,<=50K
322,322,<=50K
323,323,<=50K
324,324,>50K
325,325,<=50K
326,326,<=50K
327,327,<=50K
328,328,<=50K
329,329,<=50K
330,330,<=50K
331,331,<=50K
332,332,<=50K
333,333,<=50K
334,334,<=50K
335,335,<=50K
336,336,<=50K
337,337,>50K
338,338,<=50K
339,339,<=50K
340,340,<=50K
341,341,<=50K
342,342,<=50K
343,343,<=50K
344,344,<=50K
345,345,<=50K
346,346,<=50K
347,347,<=50K
348,348,<=50K
349,349,>50K
350,350,>50K
351,351,<=50K
352,352,<=50K
353,353,<=50K
354,354,<=50K
355,355,<=50K
356,356,<=50K
357,357,<=50K
358,358,<=50K
359,359,<=50K
360,360,>50K
361,361,<=50K
362,362,>50K
363,363,<=50K
364,364,<=50K
365,365,<=50K
366,366,<=50K
367,367,<=50K
368,368,<=50K
369,369,<=50K
370,370,<=50K
371,371,<=50K
372,372,>50K
373,373,<=50K
374,374,<=50K
375,375,<=50K
376,376,<=50K
377,377,<=50K
378,378,<=50K
379,379,<=50K
380,380,<=50K
381,381,<=50K
382,382,>50K
383,383,<=50K
384,384,<=50K
385,385,<=50K
386,386,<=50K
387,387,<=50K
388,388,<=50K
389,389,<=50K
390,390,>50K
391,391,<=50K
392,392,<=50K
393,393,<=50K
394,394,<=50K
395,395,<=50K
396,396,>50K
397,397,<=50K
398,398,<=50K
399,399,<=50K
400,400,<=50K
401,401,<=50K
402,402,<=50K
403,403,<=50K
404,404,<=50K
405,405,<=50K
406,406,<=50K
407,407,<=50K
408,408,<=50K
409,409,<=50K
410,410,<=50K
411,411,<=50K
412,412,>50K
413,413,<=50K
414,414,<=50K
415,415,<=50K
416,416,<=50K
417,417,<=50K
418,418,<=50K
419,419,<=50K
420,420,<=50K
421,421,<=50K
422,422,<=50K
423,423,<=50K
424,424,<=50K
425,425,>50K
426,426,<=50K
427,427,<=50K
428,428,>50K
429,429,<=50K
430,430,<=50K
431,431,>50K
432,432,>50K
433,433,<=50K
434,434,<=50K
435,435,<=50K
436,436,>50K
437,437,>50K
438,438,<=50K
439,439,<=50K
440,440,>50K
441,441,<=50K
442,442,<=50K
443,443,<=50K
444,444,<=50K
445,445,<=50K
446,446,<=50K
447,447,<=50K
448,448,>50K
449,449,>50K
450,450,<=50K
451,451,<=50K
452,452,<=50K
453,453,<=50K
454,454,<=50K
455,455,>50K
456,456,>50K
457,457,<=50K
458,458,<=50K
459,459,<=50K
460,460,<=50K
461,461,<=50K
462,462,<=50K
463,463,<=50K
464,464,<=50K
465,465,<=50K
466,466,<=50K
467,467,<=50K
468,468,<=50K
469,469,<=50K
470,470,<=50K
471,471,<=50K
472,472,<=50K
473,473,<=50K
474,474,<=50K
475,475,<=50K
476,476,<=50K
477,477,<=50K
478,478,<=50K
479,479,<=50K
480,480,<=50K
481,481,<=50K
482,482,<=50K
483,483,<=50K
484,484,<=50K
485,485,>50K
486,486,<=50K
487,487,<=50K
488,488,<=50K
489,489,<=50K
490,490,<=50K
491,491,<=50K
492,492,<=50K
493,493,<=50K
494,494,<=50K
495,495,<=50K
496,496,<=50K
497,497,<=50K
498,498,<=50K
499,499,<=50K
500,500,<=50K
501,501,<=50K
502,502,<=50K
503,503,<=50K
504,504,<=50K
505,505,<=50K
506,506,<=50K
507,507,<=50K
508,508,<=50K
509,509,<=50K
510,510,<=50K
511,511,<=50K
512,512,<=50K
513,513,<=50K
514,514,<=50K
515,515,>50K
516,516,<=50K
517,517,>50K
518,518,<=50K
519,519,<=50K
520,520,<=50K
521,521,<=50K
522,522,<=50K
523,523,<=50K
524,524,<=50K
525,525,<=50K
526,526,<=50K
527,527,<=50K
528,528,<=50K
529,529,<=50K
530,530,<=50K
531,531,<=50K
532,532,<=50K
533,533,<=50K
534,534,>50K
535,535,<=50K
536,536,<=50K
537,537,>50K
538,538,<=50K
539,539,<=50K
540,540,<=50K
541,541,<=50K
542,542,<=50K
543,543,<=50K
544,544,<=50K
545,545,<=50K
546,546,<=50K
547,547,<=50K
548,548,<=50K
549,549,<=50K
550,550,<=50K
551,551,<=50K
552,552,<=50K
553,553,<=50K
554,554,<=50K
555,555,<=50K
556,556,<=50K
557,557,<=50K
558,558,<=50K
559,559,<=50K
560,560,<=50K
561,561,<=50K
562,562,<=50K
563,563,<=50K
564,564,<=50K
565,565,<=50K
566,566,<=50K
